id,zip_code,created_at,updated_at
157,1821,2021-09-20 10:21:50,2021-09-20 10:21:50
158,1822,2021-09-20 10:21:50,2021-09-20 10:21:50
159,1820,2021-09-20 10:21:50,2021-09-20 10:21:50
160,1510,2021-09-20 10:21:50,2021-09-20 10:21:50
161,1511,2021-09-20 10:21:50,2021-09-20 10:21:50
162,1512,2021-09-20 10:21:50,2021-09-20 10:21:50
163,1334,2021-09-20 10:21:50,2021-09-20 10:21:50
164,1534,2021-09-20 10:21:50,2021-09-20 10:21:50
165,1532,2021-09-20 10:21:50,2021-09-20 10:21:50
166,1333,2021-09-20 10:21:50,2021-09-20 10:21:50
167,1533,2021-09-20 10:21:50,2021-09-20 10:21:50
168,1531,2021-09-20 10:21:50,2021-09-20 10:21:50
169,1530,2021-09-20 10:21:50,2021-09-20 10:21:50
170,1335,2021-09-20 10:21:50,2021-09-20 10:21:50
171,1535,2021-09-20 10:21:50,2021-09-20 10:21:50
172,1503,2021-09-20 10:21:50,2021-09-20 10:21:50
173,1502,2021-09-20 10:21:50,2021-09-20 10:21:50
174,1500,2021-09-20 10:21:50,2021-09-20 10:21:50
175,1501,2021-09-20 10:21:50,2021-09-20 10:21:50
176,1542,2021-09-20 10:21:50,2021-09-20 10:21:50
177,1541,2021-09-20 10:21:50,2021-09-20 10:21:50
178,1543,2021-09-20 10:21:50,2021-09-20 10:21:50
179,1544,2021-09-20 10:21:50,2021-09-20 10:21:50
180,1540,2021-09-20 10:21:50,2021-09-20 10:21:50
181,1557,2021-09-20 10:21:50,2021-09-20 10:21:50
182,1551,2021-09-20 10:21:50,2021-09-20 10:21:50
183,1558,2021-09-20 10:21:50,2021-09-20 10:21:50
184,1553,2021-09-20 10:21:50,2021-09-20 10:21:50
185,1554,2021-09-20 10:21:50,2021-09-20 10:21:50
186,1555,2021-09-20 10:21:50,2021-09-20 10:21:50
187,1552,2021-09-20 10:21:50,2021-09-20 10:21:50
188,1550,2021-09-20 10:21:50,2021-09-20 10:21:50
189,1556,2021-09-20 10:21:50,2021-09-20 10:21:50
190,1523,2021-09-20 10:21:50,2021-09-20 10:21:50
191,1522,2021-09-20 10:21:50,2021-09-20 10:21:50
192,1521,2021-09-20 10:21:50,2021-09-20 10:21:50
193,1525,2021-09-20 10:21:50,2021-09-20 10:21:50
194,1524,2021-09-20 10:21:50,2021-09-20 10:21:50
195,1527,2021-09-20 10:21:50,2021-09-20 10:21:50
196,1526,2021-09-20 10:21:50,2021-09-20 10:21:50
197,1520,2021-09-20 10:21:50,2021-09-20 10:21:50
198,1450,2021-09-20 10:21:50,2021-09-20 10:21:50
199,1460,2021-09-20 10:21:50,2021-09-20 10:21:50
200,1451,2021-09-20 10:21:50,2021-09-20 10:21:50
201,1440,2021-09-20 10:21:50,2021-09-20 10:21:50
202,1441,2021-09-20 10:21:50,2021-09-20 10:21:50
203,1442,2021-09-20 10:21:50,2021-09-20 10:21:50
204,1410,2021-09-20 10:21:50,2021-09-20 10:21:50
